ID,COMPANY,PRODUCTION,DETAIL
1,中意人寿保险有限公司,中意附加老年意外伤害失能收入损失保险,http://www.iachina.cn/IC/tkk/01/5b99c1fe-f287-434f-a68a-7a63028d4de6.html
2,中意人寿保险有限公司,中意附加意外伤害失能收入损失保险,http://www.iachina.cn/IC/tkk/01/00b57087-cefd-41b4-b21d-02bb621d991e.html
3,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司金福利团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/677dbac0-e81f-4a3b-96e0-48f80ed24b86.html
4,国联人寿保险股份有限公司,国联人寿保险股份有限公司附加补充工伤团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/557d6b51-a45c-42dd-85b6-c23b9284b58b.html
5,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司补充工伤团体失能收入损失保险（B款）,http://www.iachina.cn/IC/tkk/01/020405bb-5bfd-47d2-817c-1379c8cc09a5.html
6,泰康人寿保险有限责任公司,泰康附加员福误工收入保障保险,http://www.iachina.cn/IC/tkk/01/6a3070c4-32c5-42d3-817b-327b52dd5822.html
7,新华人寿保险股份有限公司,新华人寿保险股份有限公司补充工伤团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/05cfd25f-e00a-4930-a2ba-5144012695d9.html
8,恒大人寿保险有限公司,恒大团体职业运动员暂时性失能收入损失保险,http://www.iachina.cn/IC/tkk/01/df4879a4-1d78-45ca-ac47-694f9a525a49.html
9,恒大人寿保险有限公司,恒大团体职业运动员永久性失能收入损失保险,http://www.iachina.cn/IC/tkk/01/bc2b8562-7bcd-4c45-93bd-f27c5d5852d4.html
10,平安养老保险股份有限公司,平安工伤团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/1cad4cb1-b09c-4854-9945-a9593a643296.html
11,平安养老保险股份有限公司,平安团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/0e09b363-e4a9-42af-b1c0-03d6ac7214f7.html
12,招商信诺人寿保险有限公司,招商信诺精英版附加团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/b784a3d7-57a8-46e2-8702-810dca0d0b01.html
13,北大方正人寿保险有限公司,团体飞行员失能收入损失保险,http://www.iachina.cn/IC/tkk/01/440c76f0-d6d9-4f4f-abfc-9b2d49f81036.html
14,中意人寿保险有限公司,中意附加意外伤害每月失能收入损失保险,http://www.iachina.cn/IC/tkk/01/46b932c3-1d71-4452-b55e-5f692c871cf7.html
15,中意人寿保险有限公司,中意附加全残保障团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/c21fb462-0788-4f7d-bcbe-c228c5472a73.html
16,国联人寿保险股份有限公司,国联人寿保险股份有限公司附加补充工伤团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/91d5e902-1a28-4a31-88ab-832e2fb1bb93.html
17,招商信诺人寿保险有限公司,招商信诺全球员工团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/8a95357e-b6eb-4a33-8e61-f77c8c6078a6.html
18,陆家嘴国泰人寿保险有限责任公司,陆家嘴国泰团体飞行员失能收入损失保险,http://www.iachina.cn/IC/tkk/01/0fe9586a-1190-46d0-8ea7-b6ca8f93ec6b.html
19,渤海人寿保险股份有限公司,渤海人寿飞行员团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/7fb52051-9366-4dc4-bf9d-683fddad1431.html
20,复星联合健康保险股份有限公司,复星联合团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/3c4bd366-238f-4811-8244-982f720bf412.html
21,中国人民人寿保险股份有限公司,人保寿险补充工伤团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/9372c791-bf8a-4093-ba93-0a743a321e5d.html
22,中国人寿保险股份有限公司,国寿职业运动员团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/f87fbab7-a513-49f3-b317-e6fc8faa13e6.html
23,中国人寿保险股份有限公司,国寿安翔飞行员失能收入损失保险,http://www.iachina.cn/IC/tkk/01/201387c2-0fcb-449a-8b70-c83217072c5c.html
24,中宏人寿保险有限公司,中宏附加惠选Ⅱ保险费豁免失能收入损失保险,http://www.iachina.cn/IC/tkk/01/952f9736-6c00-4bfc-a5ab-69f290fff535.html
25,中宏人寿保险有限公司,中宏附加投保人保险费豁免失能收入损失保险,http://www.iachina.cn/IC/tkk/01/5bec6186-d594-447c-ab0b-c2a078108b5a.html
26,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司补充工伤团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/cc9dedc9-db0e-4a22-b7ee-e31a6749c948.html
27,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司金福利团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/fc63640f-93d8-4b57-bcf8-cdc9433b93eb.html
28,中国人民人寿保险股份有限公司,人保寿险飞行员团体失能收入损失保险,http://www.iachina.cn/IC/tkk/01/4824fa7c-003f-44f7-9a98-fc99dfed00b8.html
